SpecimenID	Gene
TRF000111.01	ATM
TRF000111.01	CYP2D6
TRF000111.01	EGFR
TRF000111.01	GNAQ
TRF000111.01	IGF2R
TRF000111.01	KMT2A
TRF000111.01	MSH6
TRF000111.01	NOTCH1
TRF000111.01	PRKDC
TRF000111.01	RICTOR
TRF000111.01	SMARCA4
TRF000111.01	TP53
TRF000902.01	BRAF
TRF000902.01	TET2
TRF000902.01	TET2
TRF000912.03	ARID1A
TRF000912.03	EGFR
TRF000912.03	EGFR
TRF000912.03	EPHA7
TRF000912.03	NKX2-1
TRF000912.03	PIK3CA
TRF000912.03	RET
TRF000912.03	TP53
TRF000912.03	TSC2
TRF000913.01	ATM
TRF000913.01	ATM
TRF000913.01	MAP2K2
TRF000913.01	NTRK1 - CGREF1
TRF000913.01	NTRK1 - MPRIP
TRF000913.01	PAK3
TRF000913.01	TP53
TRF000913.01	TPMT
TRF000931.01	ATM
TRF000931.01	ATM
TRF000931.01	CDH20
TRF000931.01	EGFR
TRF000931.01	EGFR
TRF000931.01	EGFR
TRF000931.01	EPHA7
TRF000931.01	EPHA7
TRF000931.01	IGF1R
TRF000931.01	LRP6
TRF000931.01	SMAD2
TRF000934.01	CCND1
TRF000934.01	CYP2D6
TRF000934.01	GNAS
TRF000934.01	NOTCH1
TRF000934.01	PTEN
TRF000934.01	SMARCA4
TRF000935.01	ADGRA2
TRF000935.01	CARD11
TRF000935.01	CCND2
TRF000935.01	CCND3
TRF000935.01	CDH20
TRF000935.01	CDKN2A
TRF000935.01	EPHA3
TRF000935.01	EPHA6
TRF000935.01	ERBB4
TRF000935.01	FLT3
TRF000935.01	FOXP4
TRF000935.01	INHBA
TRF000935.01	LRP1B
TRF000935.01	LRP1B
TRF000935.01	LRP1B
TRF000935.01	LRP1B
TRF000935.01	MDM2
TRF000935.01	MYC
TRF000935.01	NTRK3
TRF000935.01	NTRK3
TRF000935.01	PAK3
TRF000935.01	PIK3R1
TRF000935.01	PKHD1
