SpecimenID	TMB
TRF000111.01	9.3
TRF000902.01	1.9
TRF000912.03	5.6
TRF000913.01	1.9
TRF000931.01	9.3
TRF000934.01	5.6
TRF000935.01	35.4
TRF000958.01	1.9
TRF000982.01	1.9
TRF000995.01	9.3
TRF001005.01	20.5
TRF001024.01	11.2
TRF001102.01	154.5
TRF001103.01	7.4
TRF001104.03	11.2
TRF001148.01	3.7
TRF001156.01	7.4
TRF001158.01	0
TRF001178.01	13
TRF001190.01	1.9
TRF001221.02	7.4
TRF001224.02	1.9
TRF001232.01	9.3
TRF001251.01	1.9
TRF001263.01	1.9
TRF001268.01	16.8
TRF001278.04	9.3
TRF001283.01	3.7
TRF001330.01	3.7
TRF001372.01	1.9
TRF001383.01	3.7
TRF001470.01	1.9
TRF001556.01	5.6
TRF001562.01	3.7
TRF002532.01	1.9
TRF002565.02	1.9
TRF002576.01	1.9
TRF002643.01	1.9
TRF002644.01	5.6
TRF002660.01	1.9
TRF002704.01	0
TRF002706.01	0
TRF002718.01	0
TRF002744.01	9.3
TRF002745.01	1.9
TRF002762.01	5.6
TRF002821.01	7.4
TRF002838.01	1.9
TRF002840.01	1.9
TRF002882.01	3.7
TRF003087.01	0
TRF003093.01	1.9
TRF003100.01	13
TRF003102.01	1.9
TRF003119.01	3.7
TRF003130.01	9.3
TRF003133.01	0
TRF003144.02	1.9
TRF003153.01	14.9
TRF003170.01	1.9
TRF003190.01	37.2
TRF003226.01	16.8
TRF003255.01	3.7
TRF003258.01	14.9
TRF003291.01	7.4
TRF003300.01	3.7
TRF003301.01	42.8
TRF003312.01	26.1
TRF003319.01	13
TRF003337.02	11.2
TRF003360.01	14.9
TRF003380.01	1.9
TRF003400.01	44.7
TRF003488.02	1.9
TRF003489.01	8.4
TRF003492.01	11.2
TRF003493.02	11.2
TRF003497.01	3.7
TRF003515.01	7.4
TRF003647.01	67
TRF003651.01	18.6
TRF003653.01	1.9
TRF003697.06	3.7
TRF003754.01	3.7
TRF003778.02	9.3
TRF003792.02	18.6
TRF003798.01	16.8
TRF003799.01	5.6
TRF003806.01	9.3
TRF003817.01	14.9
TRF003821.01	1.9
TRF003843.01	7.4
TRF003876.01	3.7
TRF003879.01	0
TRF003890.01	1.9
TRF003897.01	7.4
TRF003905.01	5.6
TRF003907.01	7.4
TRF003909.01	0
TRF003914.01	68.9
TRF003922.01	1.9
TRF003923.01	3.7
TRF003942.01	33.5
TRF003948.03	1.9
TRF004011.01	7.4
TRF004013.01	7.4
TRF004056.01	0
TRF004061.01	13
TRF004074.01	11.2
TRF004077.01	0
TRF004078.01	3.7
TRF004080.01	9.3
TRF004082.01	1.9
TRF004086.02	1.9
TRF004093.02	7.4
TRF004124.01	16.8
TRF004126.01	11.2
TRF004127.01	16.8
TRF004139.02	14.9
TRF004140.01	9.3
TRF004143.01	0
TRF004150.01	1.9
TRF004159.01	54
TRF004168.01	33.5
TRF004173.01	3.7
TRF004186.01	14.9
TRF004188.01	7.4
TRF004195.01	7.4
TRF004200.01	9.3
TRF004212.01	0
TRF004517.03	2.4
TRF004525.01	5.6
TRF004536.02	5.6
TRF004543.02	1.9
TRF004545.01	7.4
TRF004556.01	13
TRF004568.01	0
TRF004569.01	9.3
TRF004571.01	7.4
TRF004573.01	3.7
TRF004574.01	14.9
TRF004578.01	9.3
TRF004595.01	11.2
TRF004613.01	11.2
TRF004615.01	9.3
TRF004616.03	7.4
TRF004618.02	0
TRF004626.01	41
TRF004718.01	16.8
TRF004719.02	0
TRF004727.01	1.9
TRF004733.01	1.9
TRF004744.01	1.9
TRF004761.01	5.6
TRF004765.01	5.6
TRF004777.01	37.2
TRF004811.02	24.2
TRF004818.01	1.9
TRF004824.01	41
TRF004827.01	11.2
TRF004830.01	16.8
TRF004844.01	44.7
TRF004850.01	5.6
TRF004855.01	27.9
TRF004856.01	3.7
TRF004862.01	11.2
TRF004880.01	0
TRF004888.01	0
TRF004912.01	3.7
TRF004924.01	11.2
TRF004925.02	1.9
TRF004926.01	16.8
TRF004940.01	16.8
TRF004989.01	65.2
TRF004997.01	0
TRF005031.01	7.4
TRF005036.01	41
TRF005038.01	7.4
TRF005041.04	13
TRF005043.01	9.3
TRF005045.01	7.4
TRF005064.01	16.8
TRF005089.01	13
TRF005098.02	9.6
TRF005100.01	50.3
TRF005124.01	3.7
TRF005130.01	11.2
TRF005133.02	6
TRF005164.01	1.9
TRF005225.01	1.9
TRF005274.01	1.9
TRF005280.01	0
TRF005296.01	5.6
TRF005334.01	11.2
TRF005339.01	121
TRF005340.01	1.9
TRF005399.01	33.5
TRF005400.02	1.2
TRF005420.01	0
TRF005421.02	16.8
TRF005426.01	27.9
TRF005470.01	5.6
TRF005478.01	7.4
TRF005481.01	20.5
TRF005482.01	1.9
TRF005537.01	5.6
TRF005547.01	5.6
TRF005585.01	7.4
TRF005586.01	1.9
TRF005592.01	1.9
TRF005602.01	0
TRF005607.01	20.5
TRF005671.01	1.9
TRF005716.01	7.4
TRF005721.01	3.7
TRF005748.05	5.6
TRF005785.01	5.6
TRF005791.01	20.5
TRF005850.01	3.7
TRF005855.01	20.5
TRF005865.01	3.7
TRF005871.02	1.9
TRF005874.01	1.9
TRF005877.01	11.2
TRF005878.01	5.6
TRF005884.01	1.9
TRF005947.01	0
TRF005968.01	13
TRF005974.01	0
TRF006047.01	0
TRF006048.01	5.6
TRF006068.01	10.8
TRF006094.03	4.8
TRF006095.01	0
TRF006101.01	72.6
TRF006108.01	1.9
TRF006109.01	9.3
TRF006112.01	0
TRF006427.02	0
TRF006548.01	3.7
TRF006550.01	5.6
TRF006551.01	5.6
TRF006553.01	1.9
TRF006563.01	5.6
TRF006575.01	13
TRF006576.01	2.4
TRF006581.01	7.4
TRF006604.01	9.3
TRF006753.03	9.6
TRF006758.01	3.7
TRF006762.01	3.7
TRF006771.01	35.4
TRF006772.01	1.9
TRF006804.01	13
TRF006810.01	5.6
TRF006821.02	18.6
TRF006856.01	3.7
TRF006883.02	39.1
TRF006886.01	1.9
TRF006902.01	4.8
TRF006922.01	1.2
TRF006997.01	37.2
TRF007002.01	1.2
TRF007013.01	15.6
TRF007016.01	3.6
TRF007054.01	7.2
TRF007067.01	2.4
TRF007069.02	22.8
TRF007070.01	16.8
TRF007097.01	1.2
TRF007105.01	46.8
TRF007109.01	3.6
TRF007114.02	1.2
TRF007123.01	1.2
TRF007125.01	8.4
TRF007140.01	1.2
TRF007149.01	2.4
TRF007185.01	8.4
TRF007201.01	2.4
TRF007221.01	1.2
TRF007222.01	2.4
TRF007234.01	1.2
TRF007238.01	22.8
TRF007242.02	4.8
TRF007270.01	0
TRF007288.03	2.4
TRF007289.01	2.4
TRF007323.01	10.8
TRF007333.01	1.2
TRF007387.01	3.6
TRF007436.01	3.6
TRF007450.01	16.8
TRF007552.01	1.2
TRF007553.01	1.2
TRF007567.01	7.2
TRF007569.01	8.4
TRF007571.01	2.4
TRF007577.01	14.4
TRF007579.01	2.4
TRF007581.02	19.2
TRF007641.01	14.4
TRF007647.01	7.2
TRF007663.01	2.4
TRF007732.01	2.4
TRF007769.01	12
TRF007803.01	28.8
TRF007804.02	2.4
TRF007841.01	9.6
TRF007874.01	3.6
TRF007903.01	22.8
TRF007906.01	30
TRF007910.01	2.4
TRF007911.01	12
TRF007917.02	0
TRF007921.01	1.2
TRF007925.01	14.4
TRF007932.01	1.2
TRF007937.01	26.4
TRF007962.03	3.6
TRF007964.01	10.8
TRF007992.01	24
TRF007996.01	9.6
TRF008009.01	54
TRF008012.01	3.6
TRF008014.01	3.6
TRF008018.01	8.4
TRF008065.01	0
TRF008067.01	6
TRF008069.01	10.8
TRF008101.01	1.2
TRF008112.03	2.4
TRF008115.02	1.2
TRF008146.01	15.6
TRF008153.01	4.8
TRF008156.01	6
TRF008193.01	13.2
TRF008226.01	6
TRF008230.01	13.2
TRF008233.01	8.4
TRF008343.01	8.4
TRF008345.02	1.2
TRF008347.01	1.2
TRF008364.01	4.8
TRF008368.01	4.8
TRF008370.01	3.6
TRF008376.01	7.2
TRF008422.01	13.2
TRF008468.01	3.6
TRF008480.01	3.6
TRF008522.01	2.4
TRF008540.01	0
TRF008617.01	3.6
TRF008721.01	0
TRF008735.01	13.2
TRF008827.01	13.2
TRF008828.01	9.6
TRF008833.01	9.6
TRF008834.01	1.2
TRF008836.01	1.2
TRF008845.01	1.2
TRF008907.01	13.2
TRF008908.01	4.8
TRF008909.01	2.4
TRF008918.01	14.4
TRF008921.01	7.2
TRF008945.01	1.2
TRF008951.01	18
TRF008993.01	4.8
TRF009064.01	18
TRF009067.01	1.2
TRF009075.02	3.6
TRF009079.01	19.2
TRF009081.01	6
TRF009150.01	13.2
TRF009151.01	18
TRF009223.01	7.2
TRF009229.01	6
TRF009234.01	3.6
TRF009244.01	2.4
TRF009265.01	2.4
TRF009269.01	2.4
TRF009275.01	4.8
TRF009277.01	3.6
TRF009280.01	4.8
TRF009281.01	4.8
TRF009283.01	0
TRF009286.01	27.6
TRF009291.01	2.4
TRF009293.01	0
TRF009325.01	1.2
TRF009329.01	1.2
TRF009338.01	1.2
TRF009342.01	7.2
TRF009346.01	1.2
TRF009364.01	6
TRF009381.01	3.6
TRF009405.01	12
TRF009406.01	3.6
TRF009409.01	14.4
TRF009418.01	1.2
TRF009419.01	1.2
TRF009465.01	19.2
TRF009467.01	13.2
TRF009482.01	12
TRF009493.01	1.2
TRF009602.01	1.2
TRF009629.01	1.2
TRF009631.01	4.8
TRF009665.01	2.4
TRF009669.01	1.2
TRF009679.01	8.4
TRF009687.01	1.2
TRF009693.01	1.2
TRF009722.01	2.4
TRF009773.01	1.2
TRF009774.01	2.4
TRF009775.02	1.2
